STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72572024127,1/1/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",10.5,24,4.4,24,1036.3,24,882.8,24,9.5,24,3.4,24,8,999.9,21, ,-0.9, ,0,G,3.1,100000
72572024127,1/2/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",13.4,24,6.5,24,1032.7,24,880.1,24,9.3,24,2.3,24,6,999.9,24.1, ,-0.9, ,0,G,3.1,0
72572024127,1/3/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",21.6,24,13.9,24,1028.8,24,878.1,24,9.1,24,1.7,24,5.1,999.9,26.1,*,19,*,0,G,2,0
72572024127,1/4/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",23.2,24,17.7,24,1021.1,24,872.1,24,7.2,24,2.6,24,7,999.9,30, ,17.1, ,0,G,2,0
72572024127,1/5/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",29.2,24,24.3,24,1013.7,24,866.7,24,6.1,24,1.9,24,7,999.9,36, ,17.1, ,0,G,2,11000
72572024127,1/6/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",33.9,24,29.8,24,1008.5,24,863.1,24,7.7,24,3.2,24,13,999.9,41, ,26.1, ,0.01,G,1.2,10000
72572024127,1/7/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",32.6,24,31.9,24,1007,11,862,24,3.1,24,1.8,24,7,999.9,41, ,28.9, ,0.11,G,1.2,111000
72572024127,1/8/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",32.8,24,30.2,24,1011.3,13,864.6,24,5.2,24,5.1,24,9.9,999.9,35.1,*,30.2,*,0.14,G,2,1000
72572024127,1/9/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",32.2,24,26.8,24,1019.8,24,872.6,24,9.6,24,5,24,9.9,999.9,36, ,28.9, ,0.02,G,1.2,1000
72572024127,1/10/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",29.7,24,24.2,24,1023.4,18,875.5,24,9.6,24,3.2,24,8,999.9,36, ,26.1, ,0,G,999.9,1000
72572024127,1/11/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",25.5,24,17.6,24,1030.6,24,880.8,24,9.9,24,4.9,24,7,999.9,34, ,19, ,0,G,999.9,0
72572024127,1/12/2016,40.7781,-111.9694,1287.8,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",24,24,16.7,24,1033,24,882.5,24,9.8,24,4,24,8.9,999.9,34, ,19, ,0,G,999.9,0
